City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Date
221,Darnah,32.767,22.6367,289.5,75,1,8.4,LY,clear sky,2024-05-10 03:48:42
222,Salinopolis,-0.6136,-47.3561,299.58,87,95,3.52,BR,overcast clouds,2024-05-10 03:48:42
223,Tlahualilo De Zaragoza,26.1167,-103.45,303.93,8,49,6.29,MX,scattered clouds,2024-05-10 03:48:42
224,Okhotsk,59.3833,143.3,273.66,95,100,8.63,RU,light snow,2024-05-10 03:44:51
225,Kristinestad,62.2743,21.376,276.54,77,59,7.55,FI,broken clouds,2024-05-10 03:48:43
226,Brezina,33.0989,1.2608,288.95,27,85,4.27,DZ,overcast clouds,2024-05-10 03:48:43
227,Taksimo,56.3444,114.8794,284.1,51,100,3.14,RU,overcast clouds,2024-05-10 03:48:43
228,Morelos,18.75,-99.0,306.7,19,100,2.12,MX,overcast clouds,2024-05-10 03:48:43
229,Jalqani,12.4486,34.2186,302.06,12,90,2.44,SD,overcast clouds,2024-05-10 03:48:43
230,Khodoriv,49.4066,24.3136,280.92,82,10,0.73,UA,clear sky,2024-05-10 03:48:43
231,Chelm,51.1431,23.4716,283.65,75,27,2.57,PL,scattered clouds,2024-05-10 03:48:44
232,Lihue,21.9789,-159.3672,299.73,77,40,5.14,US,light rain,2024-05-10 03:48:44
233,Susuman,62.7833,148.1667,275.92,68,99,1.79,RU,overcast clouds,2024-05-10 03:48:44
234,Chuhar Jamali,24.3895,67.9923,304.07,54,0,5.04,PK,clear sky,2024-05-10 03:48:44
235,Konce,41.4958,22.385,284.91,94,100,1.95,MK,overcast clouds,2024-05-10 03:48:44
236,Westport,41.1415,-73.3579,288.21,83,75,6.17,US,broken clouds,2024-05-10 03:43:57
237,Selkirk,50.1436,-96.8845,292.19,55,65,1.31,CA,broken clouds,2024-05-10 03:44:25
238,Nalut,30.3333,10.85,287.88,48,0,2.48,LY,clear sky,2024-05-10 03:48:45
239,Berrahal,36.8353,7.4533,286.0,94,23,1.1,DZ,few clouds,2024-05-10 03:48:45
240,Gardnerville Ranchos,38.8882,-119.7413,288.84,36,0,4.63,US,clear sky,2024-05-10 03:48:45
241,Daru,-9.0763,143.2092,299.78,87,91,5.93,PG,overcast clouds,2024-05-10 03:48:45
242,Villarrica,-25.75,-56.4333,290.13,97,52,0.45,PY,broken clouds,2024-05-10 03:44:14
243,Tual,-5.6667,132.75,301.12,81,39,6.27,ID,scattered clouds,2024-05-10 03:48:45
244,Cabedelo,-6.9811,-34.8339,297.52,84,38,5.08,BR,scattered clouds,2024-05-10 03:48:46
245,Port Shepstone,-30.7414,30.455,294.71,42,0,3.25,ZA,clear sky,2024-05-10 03:48:46
246,Narvik,68.4384,17.4272,277.25,97,100,3.27,NO,overcast clouds,2024-05-10 03:48:46
247,Tionk Essil,12.7856,-16.5217,298.18,78,16,2.06,SN,few clouds,2024-05-10 03:48:46
248,Kangdong-Up,39.1425,126.0961,295.05,42,80,7.36,KP,broken clouds,2024-05-10 03:48:46
249,Howrah,22.5892,88.3103,300.15,78,40,3.6,IN,haze,2024-05-10 03:48:46
250,Qarazhal,48.0078,70.7903,289.97,66,100,3.63,KZ,overcast clouds,2024-05-10 03:48:47
251,Pisco,-13.7,-76.2167,293.16,88,0,2.06,PE,clear sky,2024-05-10 03:48:47
252,San Patricio,28.017,-97.5169,301.39,83,0,4.01,US,clear sky,2024-05-10 03:48:47
253,Nova Olimpia,-14.7972,-57.2881,295.14,56,0,1.29,BR,clear sky,2024-05-10 03:48:47
